DefaultSPUId,DefaultGenusId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
7,10,0.46755,1.04677,38.0701,-1.22926,0.90016,4.4389,100,-1.57965,0.96234,1.40813,-1.38922,2.92e-05,-0.05824,-2.01273,-0.0005496,0.27694,-1.24422,0.00029,-0.25367,0.277,1083.78,0.61462,0.57178,0.13906,0.0979,0.13016,0.29206,0.11615,0.03826
7,11,0.60393,0.99274,26.1467,-1.32369,0.97202,3.5604,100,-1.87745,0.98561,1.31514,-1.10336,2.63e-05,-0.087,0.40745,0.0005701,-0.23828,-0.78158,0.001176,-0.39028,0.602,1024.66,0.39736,0.5542,0.11348,0.1033,0.39626,0.28606,0.0929,0.05645
7,12,1.16684,0.88086,8.6763,-1.04224,0.95874,1.2475,100,-1.87745,0.98561,1.31514,-2.51143,-0.0005833,0.14104,-0.381,0.0005509,-0.06529,-2.40058,-0.002835,0.02591,5.12,225.13,0.55678,0.57123,0.06244,0.08754,0.32795,0.30974,0.05283,0.03149
7,13,0.5403,1.02118,34.5934,-1.28335,0.95413,4.0995,100,-1.87745,0.98561,1.31514,-1.34356,2.58e-05,-0.04558,-0.97808,-0.0002549,0.05316,-0.90173,0.00084,-0.40168,0.277,1083.78,0.53742,0.59896,0.12998,0.11685,0.22075,0.2478,0.11185,0.0364
11,1,0.89153,0.86085,7.3773,-0.9069,0.9118,2.4654,0,0,1,1,-1.80128,5.25e-05,-0.03052,-0.94945,-0.0001942,-0.09155,-1.28288,-0.001323,-0.09864,0.24,501.73,0.57977,0.70628,0.091,0.09899,0.19277,0.14018,0.13646,0.05456
11,2,0.9227,0.85691,10.5419,-1.10104,0.95911,5.5649,0,0,1,1,-2.24022,-0.0003797,0.05278,-0.5436,0.0014981,-0.26423,-2.06074,-0.000481,-0.06321,1.27,454.22,0.62944,0.70408,0.07378,0.08716,0.22544,0.15984,0.07134,0.04892
11,3,1.06015,0.82846,7.4908,-0.8042,0.84616,2.6716,0,0,1,1,-1.51465,4.61e-05,-0.05214,-1.56456,-0.0004649,0.03433,-1.6844,-0.000217,-0.09623,0.3,395.45,0.63248,0.67874,0.12749,0.1112,0.14008,0.14512,0.09995,0.06494
11,4,1.21321,0.83214,1.8742,-0.12269,0,1.6905,0,0,1,1,-1.77282,1.66e-05,-0.02582,-1.02704,0.0003959,-0.08152,-1.61665,0.000334,-0.16349,3.7,421.96,0.62467,0.67137,0.10035,0.09821,0.18779,0.1734,0.08719,0.05702
11,6,0.98981,0.84936,4.6172,-0.50391,0.58381,2.5344,0,0,1,1,-1.88817,-0.0001534,-0.03821,-0.85657,0.0015556,-0.23864,-2.85962,-0.002222,0.10823,2.11,328.31,0.67675,0.74406,0.095,0.08577,0.18053,0.13163,0.04772,0.03854
11,7,0.8936,0.83203,6.1383,-0.83401,0.89986,2.6043,0,0,1,1,-1.61021,-7.73E-06,-0.04528,-1.36468,-0.0003238,-0.02822,-1.55766,7.8e-05,-0.10655,0.43,543.3,0.62324,0.6939,0.11537,0.10378,0.15177,0.12443,0.10962,0.07789
