DistTypeId,DistTypeName,OnOffSwitch,Description,IsStandReplacing,IsMultiYear,MultiYearCount
207,"Deforestation — Forestry — Salvage, uprooting and decay",0,"Deforestation — Forestry — Salvage, uprooting and decay 1",1,0,0
208,"Deforestation — Forestry — Salvage, uprooting and burn",0,"Deforestation — Forestry — Salvage, uprooting and burn 1",1,0,0
209,Deforestation — Hydro reservoir — Burn,0,Deforestation — Hydro reservoir — Burn 1,1,0,0
210,"Deforestation — Industry — Salvage, uprooting and decay",0,"Deforestation — Industry — Salvage, uprooting and decay 1",1,0,0
211,"Deforestation — Industry — Salvage, uprooting and burn",0,"Deforestation — Industry — Salvage, uprooting and burn 1",1,0,0
212,"Deforestation — Oil and gas — Salvage, uprooting and decay",0,"Deforestation — Oil and gas — Salvage, uprooting and decay 1",1,0,0
213,"Deforestation — Oil and gas — Salvage, uprooting and burn",0,"Deforestation — Oil and gas — Salvage, uprooting and burn 1",1,0,0
223,"Deforestation — Mining — Salvage, uprooting and decay",1,"Deforestation — Mining — Salvage, uprooting and decay 1",1,0,0
224,"Deforestation — Mining — Salvage, uprooting and burn",1,"Deforestation — Mining — Salvage, uprooting and burn 1",1,0,0
225,"Deforestation — Municipal — Salvage, uprooting and decay",1,"Deforestation — Municipal — Salvage, uprooting and decay 1",1,0,0
226,"Deforestation — Municipal — Salvage, uprooting and burn",1,"Deforestation — Municipal — Salvage, uprooting and burn 1",1,0,0
227,Deforestation — Peat mining — Uprooting and decay,1,Deforestation — Peat mining — Uprooting and decay 1,1,0,0
228,Deforestation — Peat mining — Uprooting and burn,1,Deforestation — Peat mining — Uprooting and burn 1,1,0,0
229,Deforestation — Recreation — Salvage and burn,1,Deforestation — Recreation — Salvage and burn 1,1,0,0
230,Deforestation — Recreation — Salvage and decay,1,Deforestation — Recreation — Salvage and decay 1,1,0,0
231,"Deforestation — Recreation — Salvage, uprooting and decay",1,"Deforestation — Recreation — Salvage, uprooting and decay 1",1,0,0
232,"Deforestation — Recreation — Salvage, uprooting and burn",1,"Deforestation — Recreation — Salvage, uprooting and burn 1",1,0,0
233,"Deforestation — Transportation — Salvage, uprooting and decay",1,"Deforestation — Transportation — Salvage, uprooting and decay 1",1,0,0
234,"Deforestation — Transportation — Salvage, uprooting and burn",1,"Deforestation — Transportation — Salvage, uprooting and burn 1",1,0,0
235,Deforestation — Hydro reservoir — salvage and burn,1,Deforestation — Hydro reservoir — salvage and burn 1,1,0,0
236,Firewood Collection - SW,1,SW firewood collection from small private woodlots-live biomass,0,0,0
237,Firewood Collection - HW,1,HW firewood collection from small private woodlots- live biomass,0,0,0
238,Firewood Collection - post logging,1,Firewood collection from DOM following commercial logging,0,0,0
239,Firewood Collection - post natural disturbance ,1,Firewood collection from DOM following natural disturbance,0,0,0
240,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation > 85%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation > 85%",0,0,0
241,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 76-85%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 76-85%",0,0,0
242,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 66-75%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 66-75%",0,0,0
243,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 56-65%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 56-65%",0,0,0
