DefaultSPUId,DefaultSpeciesTypeId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
5,63,0.5199,0.98014,100,-1.16494,0.51027,4.7289,0,0,1,1,-1.48151,-0.001137,0.00538,-1.42828,-0.00016,0.02953,-2.4602,-0.00046,-0.05753,0.323,532.21,0.64157,0.69411,0.14709,0.0891,0.16157,0.18445,0.04977,0.03233
5,68,0.4302,1.01988,100,-1.47369,0.98036,1.3869,0,0,1,1,-0.78226,-0.000326,-0.11169,-0.79725,0.00048,-0.13501,-1.3817,-7.00E-05,-0.26469,0.661,501.69,0.5285,0.67238,0.19913,0.13027,0.18849,0.16591,0.08389,0.03144
5,74,0.4939,1.04993,76.7817,-1.54916,0.9764,3.9824,0,0,1,1,-1.1433,0.000566,-0.13818,0.67534,0.00101,-0.29232,-1.449,-0.00048,-0.23017,0.36,534.85,0.38235,0.56863,0.09666,0.10286,0.46,0.30422,0.06099,0.02429
5,76,0.6067,0.98714,19.2748,-0.94887,0.835,3.2183,0,0,1,1,-1.41017,5e-05,-0.08538,0.76892,0.0025,-0.4312,-1.7648,1e-04,-0.15871,0.139,574.22,0.41496,0.55713,0.08808,0.0813,0.44215,0.32474,0.0548,0.03683
5,77,0.7914,0.91576,19.2748,-0.94887,0.835,3.2183,0,0,1,1,-1.74796,-0.00413,0.06468,-1.17408,1e-05,-0.04634,-2.3192,-0.00381,-0.03715,1.046,100.49,0.63662,0.68441,0.124,0.10636,0.18104,0.17062,0.05833,0.03861
5,82,0.6706,1.0047,35.8054,-1.25953,0.94325,1.332,0,0,1,1,-0.78268,0.001507,-0.28182,1.20149,0.00187,-0.49548,-0.2512,0.00188,-0.58897,0.622,398.34,0.33581,0.64131,0.09446,0.0985,0.47515,0.22945,0.09458,0.03074
5,86,0.5118,1.01846,78.1673,-1.61212,0.98764,3.9019,0,0,1,1,-1.00238,0.000219,-0.17347,-0.52702,0.00032,-0.13198,-2.1284,-0.00088,-0.07637,0.186,566.04,0.53882,0.67166,0.14864,0.0928,0.256,0.20563,0.05655,0.02991
5,93,0.4596,1.06025,20.5125,-0.94943,0.79683,5.7138,0,0,1,1,-1.07048,-0.000431,-0.17344,-1.02771,-7.00E-05,0.0152,-1.9841,-0.00133,-0.10936,0.292,652.11,0.57527,0.67182,0.14771,0.05645,0.21112,0.2527,0.0659,0.01903
5,94,0.4596,1.06025,38.2599,-1.56537,0.99841,4.5071,0,0,1,1,-1.07048,-0.000431,-0.17344,-1.02771,-7.00E-05,0.0152,-1.9841,-0.00133,-0.10936,0.292,652.11,0.57527,0.67182,0.14771,0.05645,0.21112,0.2527,0.0659,0.01903
5,108,0.5637,1.02918,1.6511,-0.09586,0,1.0969,0,0,1,1,-2.25269,-0.000733,0.03565,-0.39742,0.00018,-0.10275,-2.4489,-0.00141,-0.02755,0.292,652.11,0.56807,0.66759,0.06335,0.05485,0.32172,0.25833,0.04685,0.01923
